Knesset_Num,Committee_Name,Committee_Protocol_Num,Date,Member_Name,Speaking_Times,Avg_Neutral,Avg_Positive,Avg_Negative
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,שלמה קרעי,26,0.972052466,0.025152557,0.002794974
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,פנינה תמנו,37,0.975567744,0.021964829,0.002467422
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,איתן גינזבורג,17,0.994904189,0.003643661,0.001452164
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,יעל גרמן,27,0.995498293,0.003990372,0.000511352
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,מיקי לוי,8,0.940041758,0.059473479,0.00048476
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אוסנת הילה מארק,24,0.943607762,0.037331198,0.019061037
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,מיכאל מלכיאלי,1,0.999734223,0.000220349,4.54E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אבי ניסנקורן,4,0.941864982,0.057916223,0.00021881
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אוסאמה סעדי,15,0.991674352,0.007929406,0.000396233
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אורלי פרומן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,עיסאווי פריג',44,0.928828432,0.069403423,0.001768147
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אנטאנס שחאדה,4,0.997541428,0.001716741,0.000741812
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,מכלוף מיקי זוהר,189,0.944559573,0.053520535,0.001919887
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,אלי אבידר,1,0.908638537,0.085463069,0.005898504
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,יואב בן צור,3,0.857624193,0.082313906,0.060061901
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,ניר ברקת,3,0.999530931,0.0003557,0.000113368
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,7,28/05/2019,צבי האוזר,24,0.982268244,0.015818436,0.001913333
